country,winter_2021,spring_2021,autumn_2021,winter_2022,spring_2022,autumn_2022
Sri_Lanka,2,2,1,1,1,1
United_Kingdom,23,24,40,39,37,47
Czechia,3,3,1,2,2,6
Zambia,3,3,3,3,3,3
Namibia,2,2,2,1,1,2
Thailand,103,99,95,89,87,99
Tunisia,2,2,1,1,1,1
Tanzania,1,1,2,2,2,4
Sudan,4,5,4,4,4,5
Hong_Kong,96,90,103,99,97,98
Taiwan,400,373,410,398,384,433
Indonesia,180,170,184,180,175,189
Germany,22,22,24,25,29,43
Uganda,3,1,2,1,2,
Slovakia,,,,1,1,
Chile,12,10,13,13,13,12
Qatar,4,3,4,3,3,2
Jordan,4,4,4,3,3,2
Cyprus,2,2,1,1,1,2
Cameroon,1,1,2,2,2,4
Belize,,,,,,1
Luxembourg,,,,,,1
Sierra_Leone,2,2,2,2,2,3
Mongolia,8,9,14,13,13,17
Zimbabwe,1,1,3,2,2,1
Senegal,,,1,1,1,1
Sweden,2,2,1,1,2,8
Brazil,27,25,28,28,26,29
EI_Salvador,,1,,,,
Greece,8,8,8,8,8,6
Denmark,2,2,3,10,8,5
Mali,1,1,1,1,1,
Panama,4,5,3,2,3,5
Egypt,6,5,4,5,5,7
Libya,1,1,1,1,,
Uzbekistan,1,1,2,2,2,2
Macau,9,9,8,8,8,7
Bulgaria,1,2,3,1,1,1
Ethiopia,4,4,5,5,5,10
Austria,2,2,1,1,1,3
Bahrain,1,1,,,,
Lituania,1,,,,,
Latvia,,,,,,1
Montenegro,1,1,1,1,1,1
Peru,11,12,14,14,15,15
Ukraine,8,9,9,7,6,5
Bahamas_The,,,,,,1
Tajikistan,,,,,,1
Mozambique,8,8,7,7,7,5
Bangladesh,13,12,17,18,18,29
Norway,6,6,9,6,6,6
Nigeria,10,10,14,11,9,15
Romania,6,6,5,5,5,6
Armenia,2,2,,,,
Ecuador,8,8,8,7,7,9
Moldova,,,1,1,1,1
Belgium,1,1,1,1,1,3
Netherlands,5,4,15,12,14,21
Honduras,2,2,4,4,4,2
Brunei,2,1,1,1,1,1
Ghana,5,5,10,10,10,12
Singapore,74,72,61,62,55,58
Jamaica,,,,,,2
Malaysia,59,58,,,,
Dominican_Republic,,,2,2,2,2
Laos,,,2,2,2,1
Null,21,25,86,79,78,87
trag,1,,,,,
Hungary,2,2,3,3,3,1
India,636,593,803,775,755,979
Philippines,8,8,11,10,10,17
Italy,11,11,16,17,18,18
Malawi,2,2,1,1,1,2
Nepal,11,12,21,20,20,20
Saudi_Arabia,48,47,52,53,49,57
Poland,,,,,,7
Guinea,1,1,1,1,1,1
Kazakhstan,3,3,7,7,6,6
Albania,3,3,2,3,3,3
Spain,6,4,8,12,10,19
Morocco,1,1,2,2,1,2
Iraq,,1,,,,
Korea_South,311,289,346,324,315,362
Pakistan,21,20,25,24,25,25
Iceland,1,2,2,2,2,4
Lithuania,,1,1,1,1,2
Lebanon,6,6,7,7,7,8
Iran,,39,,,45,
Kuwait,14,13,12,11,8,7
Gambia_The,,,1,1,1,2
Portugal,2,2,2,2,1,3
Belarus,,,,,1,1
Serbia,,,,,,1
Switzerland,6,6,7,7,8,17
Ireland,3,3,5,11,11,12
Papua_New_Guinea,,,1,1,1,1
Canada,158,150,181,183,180,213
Mexico,30,31,43,41,38,37
Botswana,,,,,,1
Kyrgyzstan,,,,,,2
Venezuela,5,5,3,3,3,3
Costa_Rica,5,4,4,3,3,6
Bolivia,1,1,2,2,2,3
Oman,4,4,5,5,5,5
Congo_(Kinshasa),1,1,1,,,
Burma,8,6,12,13,13,20
France,11,10,11,9,9,26
Colombia,17,17,19,18,17,23
Croatia,1,1,1,1,1,1
Maldives,,,,,,1
Azerbaijan,3,2,3,3,3,2
Guam,2,2,2,2,2,1
Cambodia,3,3,2,3,3,5
Eswatini,,,,,,1
Uruguay,2,2,1,,,1
Guatemala,1,1,1,1,1,1
Angola,,1,1,1,1,1
Vietnam,114,111,126,121,114,117
Kenya,14,13,21,17,16,26
Haiti,,,1,1,1,
Israel,5,5,5,5,5,4
New_Zealand,10,10,14,14,15,18
Bhutan,1,1,1,1,1,1
Australia,19,20,18,16,14,25
China,3840,3605,3887,3783,3590,4041
Tran,40,,,,,50
ran,,,44,49,,
Argentina,5,4,9,9,8,12
Russia,24,25,27,26,26,27
Finland,2,2,,,,1
El_Salvador,1,,3,3,3,3
Slovenia,2,2,2,2,2,2
Japan,94,92,105,104,101,132
South_Africa,8,8,9,9,9,10
Turkey,40,38,39,39,37,36
Yemen,2,2,2,1,,
Rwanda,2,2,2,2,2,4
United_Arab_Emirates,27,27,28,24,25,25
